LGBM
FOODS_3_090
                       0             1
0                     FT      7.000000
1                      L      3.000000
2   target_service_level      0.990000
3              fill_rate      0.952148
4          service_level      0.951924
5         mean_inventory   1733.678762
6          max_inventory   3014.298601
7             lost_sales   2673.764710
8      out_of_stock_days     11.000000
9         inventory_days     11.331234
10            sum_orders  54088.118706
11          count_orders     46.000000
12            sum_demand  80658.000000
13         sum_forecasts  79736.805195
14                    ME      1.674900
15                   MAE     82.008656
16                  RMSE    109.072568
17                 RMSSE      0.029201
18                 RMSsE      0.743757
19                   FD2      0.000006
20                   PLd      0.000007
21                    PL      0.000007
